t,omega_fw1,omega_fw2,omega_fw3,omega_fw4
44978.7428401562,862.803225456583,778.166298796722,880.806613767543,837.995259974218
45002.3429151036,867.565466898838,780.959975362023,877.484980030614,833.357951452852
45026.1429906861,872.349117085373,783.872140620065,874.056078730244,828.672042252484
45049.7430656335,877.070215092987,786.851889642301,870.579911993508,824.019722308435
45073.3431405808,881.76550638463,789.921274496976,867.030418617691,819.365079260692
45096.9432155282,886.431457254134,793.078192153129,863.410090492949,814.711561036775
45120.5432904756,891.064541027815,796.320463874155,859.721484221121,810.06262960139
45144.1433654229,895.66124125993,799.645836711572,855.967219215204,805.421757948166
45167.9434410054,900.256491617533,803.081189125742,852.117364856332,800.753254689387
45191.5435159528,904.769550229803,806.566370356834,848.23938314691,796.139092484023
45215.1435909002,909.235740790998,810.127443827459,844.303981286036,791.543473653085
45238.7436658475,913.65162095153,813.761876097553,840.314009459338,786.969883844674
45262.3437407949,918.013775320315,817.467068480461,836.272369715196,782.421803685815
45285.9438157423,922.318818916986,821.240359123073,832.182013504977,777.902705410341
45309.7438913248,926.599103805925,825.11182769236,828.010700971309,773.37817543551
45333.3439662722,930.779355440512,829.013605993743,823.831602449759,768.927725739322
45356.9440412195,934.892531113196,832.975115897989,819.612938676607,764.516618873054
45380.5441161669,938.935402771858,836.993465070602,815.357832769798,760.148258788246
45404.1441911143,942.904790281319,841.065709783422,811.069443709944,755.826023621906
45427.7442660616,946.797564908444,845.188857516388,806.750963419949,751.553262160548
45451.5443416442,950.642620492461,849.395413520239,802.368682238519,747.297760562301
45475.1444165915,954.372412614103,853.61160193438,797.999478994212,743.134241411071
45498.7444915389,958.016697512346,857.869466703591,793.609885763971,739.029904332643
45522.3445664863,961.572586697642,862.165851320191,789.203192630786,734.987944122408
45545.9446414336,965.037260328736,866.497564628037,784.782707012352,731.011508444785
45569.544716381,968.407969404205,870.861383562848,780.351750911466,727.103695271506
45593.3447919635,971.709364785866,875.291396146619,775.87602579932,723.235354665087
45616.9448669109,974.883344764497,879.709847317989,771.434119112883,719.47451023594
45640.5449418582,977.95554806139,884.150545819356,766.991791566849,715.791275407746
45664.1450168056,980.923540150072,888.610171403185,762.552391143206,712.188515914099
45687.745091753,983.784972097941,893.085387417403,758.119264135226,708.669031647938
45711.3451667003,986.537583195121,897.572843984812,753.695751884365,705.23555367505
45735.1452422829,989.2011097762,902.107314069408,749.247874705835,701.862781813884
45758.7453172302,991.728695515218,906.609197513752,744.853731978191,698.61000411996
45782.3453921776,994.141215601198,911.113195925377,740.479193854465,695.451005529196
45805.945467125,996.436786733102,915.615938516218,736.127549399463,692.388213332059
45829.5455420723,998.613624983099,920.114057283092,731.802066685621,689.423972662527
45853.1456170197,1000.67004757895,924.604190179099,727.505989695406,686.560544206923
45876.9456926022,1002.62034236878,929.120882124598,723.206552845036,683.777154581387
45900.5457675496,1004.43024554733,933.584858045038,718.979224694144,681.12268327627
45924.145842497,1006.1152959603,938.030800932425,714.790886041697,678.575295218415
45947.7459174443,1007.67423097905,942.455403920886,710.644654277515,676.136892371367
45971.3459923917,1009.10589562231,946.855381540727,706.543608029903,673.809282886667
45994.9460673391,1010.40924335502,951.2274726757,702.490784438795,671.594179674441
46018.7461429216,1011.59273188921,955.605089183923,698.455491892253,669.475886286975
46042.3462178689,1012.6356373648,959.911431398103,694.508517363643,667.491533355466
46065.9462928163,1013.54773689598,964.180251928671,690.61862622581,665.624253539204
46089.5463677637,1014.32842336115,968.408415837146,686.78866354356,663.87536663176
46113.146442711,1014.97722206726,972.592831753524,683.021411735182,662.246072429078
46136.7465176584,1015.49388570868,976.730477956765,679.319550206005,660.737365980539
46160.5465932409,1015.8808448245,980.852771789516,675.655248656517,659.33901529231
46184.1466681883,1016.13142347988,984.88744707639,672.092724198559,658.075446098738
46207.7467431357,1016.24937205832,988.866445352831,668.603443669625,656.935206957184
46231.346818083,1016.23473497484,992.786902010267,665.189894787146,655.919012953421
46254.9468930304,1016.08766293913,996.646004800439,661.854499775226,655.027478351311
46278.5469679778,1015.80841202673,1000.44099593704,658.599613707491,654.261116802039
46302.1470429251,1015.39734263676,1004.16917411418,655.427522943743,653.62034166794
46325.9471185077,1014.84976176668,1007.85859833161,652.314651428845,653.101641785322
46349.547193455,1014.17544238281,1011.44466082588,649.315475808536,652.71395008422
46373.1472684024,1013.37100573016,1014.95614315487,646.405545296358,652.452488572447
46396.7473433498,1012.43721785148,1018.3905889767,643.586856990937,652.317273998609
46420.3474182971,1011.37494239462,1021.74560726525,640.861332839321,652.30822600431
